LABEL,T_F,W,A,D,HT,OD,BF,B,ID,TW,TF,T,TNOM,TDES,KDES,KDET,K1,X,Y,E0,XP,YP,BF_2TF,B_T,H_TW,H_T,D_T,IX,ZX,SX,RX,IY,ZY,SY,RY,RZ,J,CW,C,WNO,SW,QF,QW,RO,H,TAN_ALPHA,QS,EDI_STD_NOMENCLATURE,AISC_MANUAL_LABEL,W,A,D,HT,OD,BF,B,ID,TW,TF,T,TNOM,TDES,KDES,KDET,X,Y,E0,XP,YP,W,B_T,H_T,H_TW,D_T,IX,ZX,SX,RX,IY,ZY,SY,RY,RZ,J,CW,C,WNO,SW,QF,QW,RO,H,TAN_ALPHA,QS
WT9X129,F,129,37.9,10.7,0,0,11.8,0,0,1.28,2.30,0,0,0.00,2.70,3,0,0.00,2.68,0.00,0.00,1.61,2.56,0.00,6.27,0.00,8.38,298,71.0,37.0,2.80,314,83.1,53.4,2.88,0.00,51.1,189,0.00,0.00,0.00,0.00,0.00,4.30,0.874,0.00,1.00,WT230X192,WT230X192,192,24500,272,0.00,0.00,300,0.00,0.00,32.5,58.4,0.00,0.00,0.00,68.6,76.2,0.00,68.1,0.00,0.00,40.9,192,0.00,0.00,6.27,8.38,124,1160,606,71.1,131,1360,875,73.2,0.00,21300,50.8,0.00,0.00,0.00,0.00,0.00,109,0.874,0.00,1.00
WT9X117,F,117,34.4,10.5,0,0,11.7,0,0,1.16,2.11,0,0,0.00,2.51,2.75,0,0.00,2.55,0.00,0.00,1.48,2.76,0.00,6.91,0.00,9.08,261,62.4,32.7,2.75,279,74.4,47.9,2.85,0.00,39.1,140,0.00,0.00,0.00,0.00,0.00,4.23,0.875,0.00,1.00,WT230X174.5,WT230X174.5,174,22200,267,0.00,0.00,297,0.00,0.00,29.5,53.6,0.00,0.00,0.00,63.8,69.9,0.00,64.8,0.00,0.00,37.6,175,0.00,0.00,6.91,9.08,109,1020,536,69.9,116,1220,785,72.4,0.00,16300,37.6,0.00,0.00,0.00,0.00,0.00,107,0.875,0.00,1.00
WT9X105.5,F,106,31.1,10.3,0,0,11.6,0,0,1.06,1.91,0,0,0.00,2.31,0.5625,0,0.00,2.44,0.00,0.00,1.34,3.02,0.00,7.57,0.00,9.75,229,55.0,29.1,2.72,246,66.1,42.7,2.82,0.00,29.1,102,0.00,0.00,0.00,0.00,0.00,4.19,0.874,0.00,1.00,WT230X157.5,WT230X157.5,158,20100,262,0.00,0.00,295,0.00,0.00,26.9,48.5,0.00,0.00,0.00,58.7,14.3,0.00,62.0,0.00,0.00,34.0,158,0.00,0.00,7.57,9.75,95.3,901,477,69.1,102,1080,700,71.6,0.00,12100,27.4,0.00,0.00,0.00,0.00,0.00,106,0.874,0.00,1.00
WT8X50,F,50.0,14.7,8.49,0,0,10.4,0,0,0.585,0.985,0,0,0.00,1.39,1.875,0,0.00,1.76,0.00,0.00,0.706,5.29,0.00,11.6,0.00,14.5,76.8,20.7,11.4,2.28,93.1,27.4,17.9,2.51,0.00,3.85,10.4,0.00,0.00,0.00,0.00,0.00,3.63,0.878,0.00,1.00,WT205X74.5,WT205X74.5,74.5,9480,216,0.00,0.00,264,0.00,0.00,14.9,25.0,0.00,0.00,0.00,35.3,47.6,0.00,44.7,0.00,0.00,17.9,74.5,0.00,0.00,11.60,14.5,32.0,339,187,57.9,38.8,449,293,63.8,0.00,1600,2.79,0.00,0.00,0.00,0.00,0.00,92.2,0.878,0.00,1.00
WT8X44.5,F,44.5,13.1,8.38,0,0,10.4,0,0,0.525,0.875,0,0,0.00,1.58,1.75,0,0.00,1.70,0.00,0.00,0.631,5.92,0.00,12.9,0.00,16.0,67.2,18.1,10.1,2.27,81.3,24.0,15.7,2.49,0.00,2.72,7.19,0.00,0.00,0.00,0.00,0.00,3.60,0.877,0.00,1.00,WT205X66,WT205X66,66.0,8450,213,0.00,0.00,264,0.00,0.00,13.3,22.2,0.00,0.00,0.00,40.1,44.5,0.00,43.2,0.00,0.00,16.0,66,0.00,0.00,12.90,16.0,28.0,297,166,57.7,33.8,393,257,63.2,0.00,1130,1.93,0.00,0.00,0.00,0.00,0.00,91.4,0.877,0.00,1.00
WT8X38.5,F,38.5,11.3,8.26,0,0,10.3,0,0,0.455,0.760,0,0,0.00,1.47,1.625,0,0.00,1.63,0.00,0.00,0.549,6.77,0.00,14.9,0.00,18.2,56.9,15.3,8.59,2.24,69.2,20.5,13.4,2.47,0.00,1.78,4.61,0.00,0.00,0.00,0.00,0.00,3.57,0.877,0.00,0.990,WT205X57,WT205X57,57.0,7290,210,0.00,0.00,262,0.00,0.00,11.6,19.3,0.00,0.00,0.00,37.3,41.3,0.00,41.4,0.00,0.00,13.9,57,0.00,0.00,14.90,18.2,23.7,251,141,56.9,28.8,336,220,62.7,0.00,741,1.24,0.00,0.00,0.00,0.00,0.00,90.7,0.877,0.00,0.990
WT8X33.5,F,33.5,9.84,8.17,0,0,10.2,0,0,0.395,0.665,0,0,0.00,1.37,1.5625,0,0.00,1.56,0.00,0.00,0.481,7.70,0.00,17.2,0.00,20.7,48.6,13.0,7.36,2.22,59.5,17.7,11.6,2.46,0.00,1.19,3.01,0.00,0.00,0.00,0.00,0.00,3.54,0.879,0.00,0.863,WT205X50,WT205X50,50.0,6350,208,0.00,0.00,259,0.00,0.00,10.0,16.9,0.00,0.00,0.00,34.8,39.7,0.00,39.6,0.00,0.00,12.2,50,0.00,0.00,17.20,20.7,20.2,213,121,56.4,24.8,290,190,62.5,0.00,495,0.808,0.00,0.00,0.00,0.00,0.00,89.9,0.879,0.00,0.863
WT8X28.5,F,28.5,8.39,8.22,0,0,7.12,0,0,0.430,0.715,0,0,0.00,1.12,1.375,0,0.00,1.94,0.00,0.00,0.589,4.98,0.00,16.5,0.00,19.1,48.7,13.8,7.77,2.41,21.6,9.42,6.06,1.60,0.00,1.10,1.99,0.00,0.00,0.00,0.00,0.00,3.30,0.770,0.00,0.942,WT205X42.5,WT205X42.5,42.5,5410,209,0.00,0.00,181,0.00,0.00,10.9,18.2,0.00,0.00,0.00,28.4,34.9,0.00,49.3,0.00,0.00,15.0,42.5,0.00,0.00,16.50,19.1,20.3,226,127,61.2,8.99,154,99.3,40.6,0.00,458,0.534,0.00,0.00,0.00,0.00,0.00,83.8,0.770,0.00,0.942
WT8X25,F,25.0,7.37,8.13,0,0,7.07,0,0,0.380,0.630,0,0,0.00,1.03,1.3125,0,0.00,1.89,0.00,0.00,0.521,5.61,0.00,18.7,0.00,21.4,42.3,12.0,6.78,2.40,18.6,8.15,5.26,1.59,0.00,0.760,1.34,0.00,0.00,0.00,0.00,0.00,3.28,0.769,0.00,0.826,WT205X37.5,WT205X37.5,37.5,4750,207,0.00,0.00,180,0.00,0.00,9.65,16.0,0.00,0.00,0.00,26.2,33.3,0.00,48.0,0.00,0.00,13.2,37.5,0.00,0.00,18.70,21.4,17.6,197,111,61.0,7.74,134,86.2,40.4,0.00,316,0.360,0.00,0.00,0.00,0.00,0.00,83.3,0.769,0.00,0.826
WT8X22.5,F,22.5,6.63,8.07,0,0,7.04,0,0,0.345,0.565,0,0,0.00,0.967,1.25,0,0.00,1.86,0.00,0.00,0.471,6.23,0.00,20.6,0.00,23.4,37.8,10.8,6.10,2.39,16.4,7.22,4.67,1.57,0.00,0.555,0.974,0.00,0.00,0.00,0.00,0.00,3.27,0.767,0.00,0.726,WT205X33.5,WT205X33.5,33.5,4280,205,0.00,0.00,179,0.00,0.00,8.76,14.4,0.00,0.00,0.00,24.6,31.8,0.00,47.2,0.00,0.00,12.0,33.5,0.00,0.00,20.60,23.4,15.7,177,100,60.7,6.83,118,76.5,39.9,0.00,231,0.262,0.00,0.00,0.00,0.00,0.00,83.1,0.767,0.00,0.726
WT8X20,F,20.0,5.89,8.01,0,0,7.00,0,0,0.305,0.505,0,0,0.00,0.907,1.1875,0,0.00,1.81,0.00,0.00,0.421,6.93,0.00,23.3,0.00,26.2,33.1,9.43,5.35,2.37,14.4,6.36,4.12,1.56,0.00,0.396,0.673,0.00,0.00,0.00,0.00,0.00,3.24,0.769,0.00,0.581,WT205X30,WT205X30,30.0,3800,203,0.00,0.00,178,0.00,0.00,7.75,12.8,0.00,0.00,0.00,23.0,30.2,0.00,46.0,0.00,0.00,10.7,30,0.00,0.00,23.30,26.2,13.8,155,87.7,60.2,5.99,104,67.5,39.6,0.00,165,0.181,0.00,0.00,0.00,0.00,0.00,82.3,0.769,0.00,0.581
WT8X18,F,18.0,5.29,7.93,0,0,6.99,0,0,0.295,0.430,0,0,0.00,0.832,1.125,0,0.00,1.88,0.00,0.00,0.378,8.12,0.00,24.1,0.00,26.9,30.6,8.93,5.05,2.41,12.2,5.42,3.50,1.52,0.00,0.272,0.516,0.00,0.00,0.00,0.00,0.00,3.30,0.745,0.00,0.554,WT205X26.5,WT205X26.5,26.5,3410,201,0.00,0.00,178,0.00,0.00,7.49,10.9,0.00,0.00,0.00,21.1,28.6,0.00,47.8,0.00,0.00,9.60,26.5,0.00,0.00,24.10,26.9,12.7,146,82.8,61.2,5.08,88.8,57.4,38.6,0.00,113,0.139,0.00,0.00,0.00,0.00,0.00,83.8,0.745,0.00,0.554
